id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1575,4251,2803,1,CROCQ,"4.32963, 50.885316",LORGE,"4.33087, 50.882851",88,4.32963,50.885315999999996,4.33087,50.882851
1576,2584,3482,1,DEMINEURS,"4.332441, 50.879024",CIM. DE JETTE,"4.334737, 50.879772",88,4.332441,50.879024,4.3347370000000005,50.879771999999996
1577,3482,1788,1,CIM. DE JETTE,"4.334737, 50.879772",GUILL. DE GREEF,"4.335713, 50.882563",88,4.3347370000000005,50.879771999999996,4.335713,50.882563
1578,1788,2807,1,GUILL. DE GREEF,"4.335713, 50.882563",PRINCE LEOPOLD,"4.341402, 50.88258",88,4.335713,50.882563,4.3414019999999995,50.88258
1579,2807,2808,1,PRINCE LEOPOLD,"4.341402, 50.88258",JACOBS FONTAINE,"4.342494, 50.878667",88,4.3414019999999995,50.88258,4.342494,50.878667
1580,2808,2171,1,JACOBS FONTAINE,"4.342494, 50.878667",EMILE DELVA,"4.342176, 50.876904",88,4.342494,50.878667,4.342176,50.876903999999996
1581,2547,4125,1,BOCKSTAEL,"4.347781, 50.877635",BOCKSTAEL,"4.348193, 50.875855",88,4.3477809999999995,50.877635,4.348193,50.875855
1582,4125,4267,1,BOCKSTAEL,"4.348193, 50.875855",NEKKERSDAL,"4.346305, 50.873832",88,4.348193,50.875855,4.346305,50.873832
1583,3082,1532,1,ANDREE DE JONGH,"4.348892, 50.87101",ENTREPOT,"4.352728, 50.869787",88,4.348892,50.87101,4.352728,50.869787
1584,1532,1523,1,ENTREPOT,"4.352728, 50.869787",MARIE-CHRISTINE,"4.358026, 50.8728",88,4.352728,50.869787,4.358026000000001,50.8728
1585,1523,2091,1,MARIE-CHRISTINE,"4.358026, 50.8728",WILLEBROEK,"4.355012, 50.864589",88,4.358026000000001,50.8728,4.355012,50.864589
1586,9025,1293,1,WTC,"4.356097, 50.861751",GARE DU NORD,"4.358129, 50.859127",88,4.356097,50.861751,4.358129,50.859127
1587,1293,1904,1,GARE DU NORD,"4.358129, 50.859127",ROGIER,"4.358297, 50.855575",88,4.358129,50.859127,4.358297,50.855575
1588,1904,2070,1,ROGIER,"4.358297, 50.855575",DE BROUCKERE,"4.353646, 50.853196",88,4.358297,50.855575,4.353646,50.853196000000004
1589,2070,1988,2,DE BROUCKERE,"4.353646, 50.853196",ROGIER,"4.358545, 50.85585",88,4.353646,50.853196000000004,4.3585449999999994,50.85585
1590,1988,1536,2,ROGIER,"4.358545, 50.85585",GARE DU NORD,"4.358469, 50.85919",88,4.3585449999999994,50.85585,4.358469,50.859190000000005
1591,1536,3245,2,GARE DU NORD,"4.358469, 50.85919",WTC,"4.356188, 50.861313",88,4.358469,50.859190000000005,4.3561879999999995,50.861313
1592,2090,1524,2,WILLEBROEK,"4.354843, 50.864497",MARIE-CHRISTINE,"4.358226, 50.873068",88,4.354843,50.864497,4.358226,50.873067999999996
1593,1524,1537,2,MARIE-CHRISTINE,"4.358226, 50.873068",ENTREPOT,"4.352813, 50.869859",88,4.358226,50.873067999999996,4.352812999999999,50.869859000000005
1594,1537,3083,2,ENTREPOT,"4.352813, 50.869859",ANDREE DE JONGH,"4.349332, 50.870911",88,4.352812999999999,50.869859000000005,4.3493319999999995,50.870911
1595,4127,2554,2,BOCKSTAEL,"4.34835, 50.87572",BOCKSTAEL,"4.347042, 50.877652",88,4.34835,50.87572,4.347042,50.877652000000005
1596,2170,2863,2,EMILE DELVA,"4.342083, 50.876959",JACOBS FONTAINE,"4.342708, 50.878802",88,4.342083000000001,50.876959,4.342708,50.878802
1597,2863,6173,2,JACOBS FONTAINE,"4.342708, 50.878802",PRINCE LEOPOLD,"4.341753, 50.883144",88,4.342708,50.878802,4.341753,50.883144
1598,6173,3483,2,PRINCE LEOPOLD,"4.341753, 50.883144",GUILL. DE GREEF,"4.336167, 50.882966",88,4.341753,50.883144,4.336167,50.882965999999996
1599,3483,3484,2,GUILL. DE GREEF,"4.336167, 50.882966",CIM. DE JETTE,"4.334586, 50.87974",88,4.336167,50.882965999999996,4.334586,50.879740000000005
1600,3484,2498,2,CIM. DE JETTE,"4.334586, 50.87974",DEMINEURS,"4.332661, 50.879164",88,4.334586,50.879740000000005,4.332661,50.879164
1601,2873,1467,2,CROCQ,"4.330214, 50.884726",HOP. DES ENFANTS,"4.327578, 50.888569",88,4.330214,50.884726,4.327578,50.888569
1602,1467,2164,2,HOP. DES ENFANTS,"4.327578, 50.888569",BOULE ET BILL,"4.322303, 50.889412",88,4.327578,50.888569,4.322303,50.889412
